仕様ID,機能/カテゴリ,確認内容,実施方式,実施環境,確認方法,対応テストファイル,実行コマンド,CI対象か,自動判定可否,手動確認要否,前提データ,PASS条件,備考,台帳状態,MVP前後
AL-001,管理アクセス制御,未ログインで保護 URL にアクセスするとログインへ,ブラウザ手動確認,staging または local,manual,,,no,no,yes,未ログイン Cookie,保護 URL へのアクセスがログインへ誘導される,MVP は手動ブラウザにて合格とする（E2E 未実装）。Playwright 等の自動化は未実装,手動のみ,必須
AL-002,管理アクセス制御,ログイン済みだが app_admins に無いユーザーは保護ページ不可,ブラウザ手動確認,staging または local,manual,,,no,no,yes,非 admin のログイン済みアカウント,403 またはリダイレクトで保護される,MVP は手動ブラウザにて合格とする（E2E 未実装）,手動のみ,必須
AL-003,管理アクセス制御,app_admins ユーザーは保護ページが表示される,ブラウザ手動確認,staging または local,manual,,,no,no,yes,app_admins ユーザーのセッション,管理画面が表示される,MVP は手動ブラウザにて合格とする（E2E 未実装）,手動のみ,必須
MVP-DASH-400,管理ダッシュボード,after 欠落または暦日無効は 400,Staging fetch + .env.staging の Cookie,staging,staging-smoke,tests/staging/staging-smoke.staging.test.ts,npm run test:staging,no,yes,no,.env.staging.example で STAGING_BASE_URL。MVP-DASH 用は .env.staging の STAGING_ADMIN_COOKIE（未設定時は該当 it skip）,400 が返る。Cookie 設定時は Vitest で自動担保,MVP_Minimum_Run / staging-smoke 参照行,完了,必須
MVP-DASH-200,管理ダッシュボード,after より後に開催日なしは day null／ありは 1 件,Staging fetch + .env.staging の Cookie,staging,staging-smoke,tests/staging/staging-smoke.staging.test.ts,npm run test:staging,no,partial,yes,.env.staging.example で STAGING_BASE_URL。Cookie は .env.staging の STAGING_ADMIN_COOKIE（未設定時は it skip）,after=2099-12-31 で day:null を検証。開催日あり分岐はデータ依存で未網羅のため台帳は一部扱い,MVP_Minimum_Run 記載の通り,一部,任意
API-ED-001,公開カレンダー,acceptingReservations は status=open かつ締切未来のみ true,Staging fetch,staging,staging-smoke,tests/staging/staging-smoke.staging.test.ts,npm run test:staging,no,yes,no,STAGING_BASE_URL,GET /api/event-days 200 かつ各要素で acceptingReservations が仕様通り,MVP_Minimum_Run。自動のみで判定可,完了,必須
API-AV-001,公開カレンダー,日付形式不正は 400、該当なしは 404,Staging fetch,staging,staging-smoke,tests/staging/staging-smoke.staging.test.ts,npm run test:staging,no,yes,no,STAGING_BASE_URL,400 と 404 の両ケースが期待どおり,MVP_Minimum_Run。自動のみで判定可,完了,必須
RSV-001,公開予約,確認へ進む前に必須未入力（枠未選択）で止まる,ブラウザ手動,local,manual,,,no,no,yes,なし（UI）,送信前にバリデーションで止まる,MVP は手動 UI にて合格とする。将来 component / E2E 候補,手動のみ,必須
RSV-002,公開予約,参加人数が 1 未満または非整数で止まる,ブラウザ手動,local,manual,,,no,no,yes,なし（UI）,境界値で止まる,MVP は手動 UI にて合格とする,手動のみ,必須
RSV-003,公開予約,昼食合計数量 0（全メニュー 0）で止まる,ブラウザ手動,local,manual,,,no,no,yes,なし（UI）,昼食必須で止まる,MVP は手動 UI にて合格とする,手動のみ,必須
RSV-006,公開予約,p_lunch_items の数量合計が participant_count を上回っても create_public_reservation が success（明細が DB に保持される）,Vitest + ローカル Supabase,local,local-integration-vitest,tests/integration/public-reservation-rpc.integration.test.ts,npm run test:integration,no,yes,no,.env.test・結合専用DB・lunch_menu_items active 1 件以上,RPC success・reservation_lunch_items の合計 > participant_count,MVP_Minimum_Run,完了,任意
RSV-010,公開予約,正常入力で 201・sessionStorage・/reserve/complete 遷移,API 自動 + ブラウザ,mixed,mixed,tests/integration/public-reservation-rpc.integration.test.ts,npm run test:integration（RPC）/ 手動で UI,no,partial,yes,受付可能な開催日,create_public_reservation success と DB active は integration。sessionStorage と画面遷移は手動,MVP_Minimum_Run の切り分け記載を反映,一部,必須
RSV-011,公開予約,二重送信: submitting 中は連打しても fetch が重複しない,ブラウザ手動,local,manual,,,no,no,yes,DevTools Network 推奨,連打でも重複 fetch が発生しない,MVP_Minimum_Run,手動のみ,任意
RSV-020,公開予約,締切後は 409（event_not_open / deadline_passed）,Vitest + ローカル Supabase,local,local-integration-vitest,tests/integration/public-reservation-rpc.integration.test.ts,npm run test:integration,no,yes,no,.env.test・結合専用DB,RPC が deadline_passed 等を返す,MVP_Minimum_Run,完了,必須
RSV-021,公開予約,満枠・枠ロックは 409（slot_full / slot_locked / day_full）,Vitest + ローカル Supabase,local,local-integration-vitest,tests/integration/public-reservation-rpc.integration.test.ts,npm run test:integration,no,partial,no,.env.test・結合専用DB,day_full・slot_locked を RPC で担保,MVP_Minimum_Run。slot_full の網羅は seed 依存で partial 扱い,一部,必須
RSV-022,公開予約,POST /api/reservations で UUID 形式不正は 422、存在しない開催日・枠は 404,Vitest（Next route）+ 任意で Supabase,local,local-integration-vitest,tests/integration/public-reservation-post-route.integration.test.ts,npm run test:integration,no,partial,no,.env.test（404 分岐のみ hasSupabaseEnv）。422 は DB 不要,422 / 404 が仕様通り,MVP_Minimum_Run。404 の it は Supabase 未設定時 skip,一部,必須
RSV-023,公開予約,draft 等（公開ステータス外）は RPC で受付不可,Vitest + ローカル Supabase,local,local-integration-vitest,tests/integration/public-reservation-rpc.integration.test.ts,npm run test:integration,no,yes,no,draft 開催日 seed,event_not_open 等,MVP_Minimum_Run,完了,必須
TK-001,予約トークン,形式不正トークンは 404,Staging fetch,staging,staging-smoke,tests/staging/staging-smoke.staging.test.ts,npm run test:staging,no,yes,no,STAGING_BASE_URL,404,MVP_Minimum_Run,完了,必須
TK-002,予約トークン,締切後 PATCH は拒否（HTTP と DB 無変更）,Vitest + ローカル Supabase,local,local-integration-vitest,tests/integration/reservation-token-patch.integration.test.ts,npm run test:integration,no,yes,no,.env.test・結合専用DB,409・participant_count 不変,MVP_Minimum_Run。PATCH Route 結合,完了,必須
CK-001,締切Cron（JOB01）,Bearer 不一致は 401（再実行含め毎回検証）,Staging fetch,staging,staging-smoke,tests/staging/staging-smoke.staging.test.ts,npm run test:staging,no,partial,no,STAGING_BASE_URL,401 または CRON_SECRET 未設定時 503 を許容,MVP_Minimum_Run,一部,必須
CK-002,締切Cron（JOB01）,CRON_SECRET 未設定または短すぎると 503,Vitest（Next route）,local,local-integration-vitest,tests/integration/cron-lock-route.integration.test.ts,npm run test:integration,no,yes,no,プロセス env の CRON_SECRET 操作,503 とメッセージ,MVP_Minimum_Run。Supabase 不要,完了,必須
