仕様ID,機能/カテゴリ,確認内容,実施方式,実施環境,確認方法,対応テストファイル,実行コマンド,CI対象か,自動判定可否,手動確認要否,前提データ,PASS条件,備考,台帳状態,MVP前後,実施者,実施日,試験結果,証跡URLまたはログ要約,不備・差戻し内容,自動実行ログ参照,備考（実施時）
AL-001,管理アクセス制御,未ログインで保護 URL にアクセスするとログインへ,ブラウザ手動確認,staging または local,manual,,,no,no,yes,未ログイン Cookie,保護 URL へのアクセスがログインへ誘導される,MVP_Minimum_Run 由来。Playwright 等の自動化は未実装,手動のみ,必須,,,,,,,
AL-002,管理アクセス制御,ログイン済みだが app_admins に無いユーザーは保護ページ不可,ブラウザ手動確認,staging または local,manual,,,no,no,yes,非 admin のログイン済みアカウント,403 またはリダイレクトで保護される,MVP_Minimum_Run 由来,手動のみ,必須,,,,,,,
AL-003,管理アクセス制御,app_admins ユーザーは保護ページが表示される,ブラウザ手動確認,staging または local,manual,,,no,no,yes,app_admins ユーザーのセッション,管理画面が表示される,MVP_Minimum_Run 由来,手動のみ,必須,,,,,,,
MVP-DASH-400,管理ダッシュボード,after 欠落または暦日無効は 400,Staging fetch + 任意で admin Cookie,staging,mixed,tests/staging/staging-smoke.staging.test.ts,npm run test:staging,no,partial,yes,STAGING_BASE_URL。admin 系は STAGING_ADMIN_COOKIE 任意,400 が返る。Cookie 未設定時は該当 it skip のため partial,MVP_Minimum_Run / staging-smoke 参照行,一部,必須,,,,,,,
MVP-DASH-200,管理ダッシュボード,after より後に開催日なしは day null／ありは 1 件,Staging fetch + 任意で admin Cookie,staging,mixed,tests/staging/staging-smoke.staging.test.ts,npm run test:staging,no,partial,yes,同上,after=2099-12-31 で day:null を検証する分岐が通る。開催日あり分岐はデータ依存で未網羅のため partial,MVP_Minimum_Run 記載の通り,一部,任意,,,,,,,
API-ED-001,公開カレンダー,acceptingReservations は status=open かつ締切未来のみ true,Staging fetch,staging,staging-smoke,tests/staging/staging-smoke.staging.test.ts,npm run test:staging,no,yes,no,STAGING_BASE_URL,GET /api/event-days 200 かつ各要素で acceptingReservations が仕様通り,MVP_Minimum_Run。自動のみで判定可,完了,必須,,,,,,,
API-AV-001,公開カレンダー,日付形式不正は 400、該当なしは 404,Staging fetch,staging,staging-smoke,tests/staging/staging-smoke.staging.test.ts,npm run test:staging,no,yes,no,STAGING_BASE_URL,400 と 404 の両ケースが期待どおり,MVP_Minimum_Run。自動のみで判定可,完了,必須,,,,,,,
RSV-001,公開予約,確認へ進む前に必須未入力（枠未選択）で止まる,ブラウザ手動,local,manual,,,no,no,yes,なし（UI）,送信前にバリデーションで止まる,MVP_Minimum_Run。将来 component / E2E 候補,手動のみ,必須,,,,,,,
RSV-002,公開予約,参加人数が 1 未満または非整数で止まる,ブラウザ手動,local,manual,,,no,no,yes,なし（UI）,境界値で止まる,MVP_Minimum_Run,手動のみ,必須,,,,,,,
RSV-003,公開予約,昼食合計数量 0（全メニュー 0）で止まる,ブラウザ手動,local,manual,,,no,no,yes,なし（UI）,昼食必須で止まる,MVP_Minimum_Run,手動のみ,必須,,,,,,,
RSV-006,公開予約,p_lunch_items の数量合計が participant_count を上回っても create_public_reservation が success（明細が DB に保持される）,Vitest + ローカル Supabase,local,local-integration-vitest,tests/integration/public-reservation-rpc.integration.test.ts,npm run test:integration,no,yes,no,.env.test・結合専用DB・lunch_menu_items active 1 件以上,RPC success・reservation_lunch_items の合計 > participant_count,MVP_Minimum_Run,完了,任意,,,,,,,
RSV-010,公開予約,正常入力で 201・sessionStorage・/reserve/complete 遷移,API 自動 + ブラウザ,mixed,mixed,tests/integration/public-reservation-rpc.integration.test.ts,npm run test:integration（RPC）/ 手動で UI,no,partial,yes,受付可能な開催日,create_public_reservation success と DB active は integration。sessionStorage と画面遷移は手動,MVP_Minimum_Run の切り分け記載を反映,一部,必須,,,,,,,
RSV-011,公開予約,二重送信: submitting 中は連打しても fetch が重複しない,ブラウザ手動,local,manual,,,no,no,yes,DevTools Network 推奨,連打でも重複 fetch が発生しない,MVP_Minimum_Run,手動のみ,任意,,,,,,,
RSV-020,公開予約,締切後は 409（event_not_open / deadline_passed）,Vitest + ローカル Supabase,local,local-integration-vitest,tests/integration/public-reservation-rpc.integration.test.ts,npm run test:integration,no,yes,no,.env.test・結合専用DB,RPC が deadline_passed 等を返す,MVP_Minimum_Run,完了,必須,,,,,,,
RSV-021,公開予約,満枠・枠ロックは 409（slot_full / slot_locked / day_full）,Vitest + ローカル Supabase,local,local-integration-vitest,tests/integration/public-reservation-rpc.integration.test.ts,npm run test:integration,no,partial,no,.env.test・結合専用DB,day_full・slot_locked を RPC で担保,MVP_Minimum_Run。slot_full の網羅は seed 依存で partial 扱い,一部,必須,,,,,,,
RSV-022,公開予約,POST /api/reservations で UUID 形式不正は 422、存在しない開催日・枠は 404,Vitest（Next route）+ 任意で Supabase,local,local-integration-vitest,tests/integration/public-reservation-post-route.integration.test.ts,npm run test:integration,no,partial,no,.env.test（404 分岐のみ hasSupabaseEnv）。422 は DB 不要,422 / 404 が仕様通り,MVP_Minimum_Run。404 の it は Supabase 未設定時 skip,一部,必須,,,,,,,
RSV-023,公開予約,draft 等（公開ステータス外）は RPC で受付不可,Vitest + ローカル Supabase,local,local-integration-vitest,tests/integration/public-reservation-rpc.integration.test.ts,npm run test:integration,no,yes,no,draft 開催日 seed,event_not_open 等,MVP_Minimum_Run,完了,必須,,,,,,,
TK-001,予約トークン,形式不正トークンは 404,Staging fetch,staging,staging-smoke,tests/staging/staging-smoke.staging.test.ts,npm run test:staging,no,yes,no,STAGING_BASE_URL,404,MVP_Minimum_Run,完了,必須,,,,,,,
TK-002,予約トークン,締切後 PATCH は拒否（HTTP と DB 無変更）,Vitest + ローカル Supabase,local,local-integration-vitest,tests/integration/reservation-token-patch.integration.test.ts,npm run test:integration,no,yes,no,.env.test・結合専用DB,409・participant_count 不変,MVP_Minimum_Run。PATCH Route 結合,完了,必須,,,,,,,
CK-001,締切Cron（JOB01）,Bearer 不一致は 401（再実行含め毎回検証）,Staging fetch,staging,staging-smoke,tests/staging/staging-smoke.staging.test.ts,npm run test:staging,no,partial,no,STAGING_BASE_URL,401 または CRON_SECRET 未設定時 503 を許容,MVP_Minimum_Run,一部,必須,,,,,,,
CK-002,締切Cron（JOB01）,CRON_SECRET 未設定または短すぎると 503,Vitest（Next route）,local,local-integration-vitest,tests/integration/cron-lock-route.integration.test.ts,npm run test:integration,no,yes,no,プロセス env の CRON_SECRET 操作,503 とメッセージ,MVP_Minimum_Run。Supabase 不要,完了,必須,,,,,,,
CK-003,締切Cron（JOB01）,対象 open かつ締切済みが 0 件のときは配列空で成功,Vitest + ローカル Supabase,local,local-integration-vitest,tests/integration/cron-lock-event-days-db.integration.test.ts,npm run test:integration,no,yes,no,.env.test・結合専用DB,空配列・status open 維持（CK-010 同一 it）,MVP_Minimum_Run,完了,必須,,,,,,,
CK-010,締切Cron（JOB01）,締切前の open はクエリ対象外（更新なし）,Vitest + ローカル Supabase,local,local-integration-vitest,tests/integration/cron-lock-event-days-db.integration.test.ts,npm run test:integration,no,yes,no,CK-003 と同一 seed,open のまま,MVP_Minimum_Run。CK-003 it で併せて担保,完了,必須,,,,,,,
CK-011,締切Cron（JOB01）,締切後・active 数 < 3 → cancelled_minimum と通知フロー,Vitest + ローカル Supabase,local,local-integration-vitest,tests/integration/cron-lock-event-days-db.integration.test.ts,npm run test:integration,no,yes,yes,2 件予約後に締切を過去へ,cancelled_minimum。RESEND 未設定時は通知 pending のため実メールは手動,MVP_Minimum_Run,一部,必須,,,,,,,
CK-012,締切Cron（JOB01）,締切後・active 数 >= 3 → locked（JOB02 前提）,Vitest + ローカル Supabase,local,local-integration-vitest,tests/integration/cron-lock-event-days-db.integration.test.ts,npm run test:integration,no,yes,no,.env.test・結合専用DB,lockedIds・status locked,MVP_Minimum_Run,完了,必須,,,,,,,
CK-021,締切Cron（JOB01）,冪等: 2 回目の Cron は open+締切済みが無ければ両配列 0,Vitest + ローカル Supabase,local,local-integration-vitest,tests/integration/cron-lock-event-days-db.integration.test.ts,npm run test:integration,no,yes,no,CK-012 同一 it 内で連続 GET,2 回目 lockedCount 0,MVP_Minimum_Run,完了,必須,,,,,,,
TC-EX-CU-OK,管理API｜締切catchup,applyReservationDeadlineCatchup: ok locked or minimum,手動優先,both,manual,,,no,no,yes,admin 認証・対象イベント,救済 API が成功,MVP_Minimum_Run,手動のみ,必須,,,,,,,
RM-001,締切後自動編成（JOB02）,認証は lock-event-days と同様（401/503）,Vitest（Next route）,local,local-integration-vitest,tests/integration/cron-run-matching-locked-db.integration.test.ts,npm run test:integration,no,yes,no,cron secret,Bearer 誤り 401。503 は CK-002 と同系,MVP_Minimum_Run,完了,必須,,,,,,,
RM-010,締切後自動編成（JOB02）,locked かつ event_date >= 東京今日 が 0 件,Vitest + ローカル Supabase,local,local-integration-vitest,tests/integration/cron-run-matching-locked-db.integration.test.ts,npm run test:integration,no,yes,no,.env.test・結合専用DB,processed 0・results 空,MVP_Minimum_Run,完了,必須,,,,,,,
RM-011,締切後自動編成（JOB02）,1 日分 ok:true で matchingRunId・assignmentCount が返る,Vitest + ローカル Supabase,local,local-integration-vitest,tests/integration/cron-run-matching-locked-db.integration.test.ts,npm run test:integration,no,yes,no,.env.test・結合専用DB,matchingRunId・confirmed,MVP_Minimum_Run。admin_apply とは別 HTTP 経路,完了,必須,,,,,,,
RM-012,締切後自動編成（JOB02）,already_matched / not_locked は results で ok:true skipped,Vitest + ローカル Supabase,local,local-integration-vitest,tests/integration/cron-run-matching-locked-db.integration.test.ts,npm run test:integration,no,yes,no,applyMatchingForEventDayId 連続で already_matched。Cron HTTP の skipped 再現は任意で追補可,already_matched / not_locked は skipped として results に格納される,MVP_Minimum_Run 参照。原CSVの列ずれを補正,完了,必須,,,,,,,
RM-013,締切後自動編成（JOB02）,上記以外の失敗は results で ok:false + error,未実装,local,local-integration-vitest,,npm run test:integration,no,no,yes,seed,失敗可視化,MVP_Minimum_Run,保留,任意,,,,,,,
TC-EX-CR-MP-06,Cron｜マッチング案内（内部分岐）,送信後 notifications.status が sent,未実装,local,local-integration-vitest,,npm run test:integration,no,no,yes,通知モック等,sent,MVP_Minimum_Run,保留,任意,,,,,,,
TC-EX-CR-MP-07,Cron｜マッチング案内（内部分岐）,送信後 status が failed,未実装,local,local-integration-vitest,,npm run test:integration,no,no,yes,同上,failed,MVP_Minimum_Run,保留,任意,,,,,,,
