SourceSet,機能,画面/API,ケースID,テストケース名,前提条件,入力,手順,期待結果,観点,元観点区分,種別,優先度,リリースゲート,自動化,実装参照,確認証跡,備考,実行状況,実行結果,担当,証跡リンク,MVP最小実施,実施順,有効_実行状況,有効_実行結果,実施方式,実施環境,自動化対象,前提データ,実行備考
reviewable,予約トークン,GET /api/reservations/{token},TK-001,形式不正トークンは 404,—,短い文字列,GET,404。予約内容は返さない。,情報漏えい防止,情報漏えい防止,権限,P0,MVP必須,既存レビュー用データ,reservations/[token]/route.ts,HTTP / DB / 画面（ケース記述参照）,参照:reservations/[token]/route.ts,,,,,対象,2-13,"=IF($W2=""対象"",IFERROR(IF(xlookup($D2,MVP_Minimum_Run!$C:$C,MVP_Minimum_Run!$H:$H,"""")<>"""",xlookup($D2,MVP_Minimum_Run!$C:$C,MVP_Minimum_Run!$H:$H,""""),$S2),$S2),$S2)","=IF($W2=""対象"",IFERROR(IF(xlookup($D2,MVP_Minimum_Run!$C:$C,MVP_Minimum_Run!$I:$I,"""")<>"""",xlookup($D2,MVP_Minimum_Run!$C:$C,MVP_Minimum_Run!$I:$I,""""),$T2),$T2),$T2)",staging-smoke,staging,yes,なし,staging-smoke.staging.test.ts
reviewable,予約トークン,PATCH /api/reservations/{token},TK-002,締切後 PATCH は拒否（HTTP と DB 無変更）,締切後の active 予約トークン,昼食など合法 PATCH body,PATCH,409 等（実装準拠）。昼食行が変わらないことを DB で確認。,状態遷移,状態遷移,状態遷移,P0,MVP必須,既存レビュー用データ,reservations/[token]/route.ts,HTTP / DB / 画面（ケース記述参照）,参照:reservations/[token]/route.ts,,,,,対象,2-14,"=IF($W3=""対象"",IFERROR(IF(xlookup($D3,MVP_Minimum_Run!$C:$C,MVP_Minimum_Run!$H:$H,"""")<>"""",xlookup($D3,MVP_Minimum_Run!$C:$C,MVP_Minimum_Run!$H:$H,""""),$S3),$S3),$S3)","=IF($W3=""対象"",IFERROR(IF(xlookup($D3,MVP_Minimum_Run!$C:$C,MVP_Minimum_Run!$I:$I,"""")<>"""",xlookup($D3,MVP_Minimum_Run!$C:$C,MVP_Minimum_Run!$I:$I,""""),$T3),$T3),$T3)",local-integration,local,partial,締切後の active 予約トークン・DB読取,PATCH と DB 不変。Staging ではデータ準備が重い
reviewable,公開カレンダー,GET /api/event-days/{date}/availability,API-AV-001,日付形式不正は 400、該当なしは 404,—,path date=foo / 存在しない日付,GET,400 または 404。枠 JSON は返らない。,不正パス,不正パス,異常系,P0,MVP必須,既存レビュー用データ,availability/route.ts,HTTP / DB / 画面（ケース記述参照）,"参照:availability/route.ts | 旧:TC-PUB-AV-001,002",,,,,対象,2-02,"=IF($W4=""対象"",IFERROR(IF(xlookup($D4,MVP_Minimum_Run!$C:$C,MVP_Minimum_Run!$H:$H,"""")<>"""",xlookup($D4,MVP_Minimum_Run!$C:$C,MVP_Minimum_Run!$H:$H,""""),$S4),$S4),$S4)","=IF($W4=""対象"",IFERROR(IF(xlookup($D4,MVP_Minimum_Run!$C:$C,MVP_Minimum_Run!$I:$I,"""")<>"""",xlookup($D4,MVP_Minimum_Run!$C:$C,MVP_Minimum_Run!$I:$I,""""),$T4),$T4),$T4)",staging-smoke,staging,yes,なし,400 と 404 の2ケースを同一IDで自動化
reviewable,公開カレンダー,GET /api/event-days,API-ED-001,acceptingReservations は status=open かつ締切未来のみ true,open で締切過去／未来が混在,GET,JSON 各行を確認,締切過去の open は false。morningRemainingVacancies は受付中のみ数値、それ以外 null。,画面表示と API の一致,画面表示と API の一致,整合性,P0,MVP必須,既存レビュー用データ,"event-days/route.ts 【リスク】締切後も予約できるように見える。 旧:TC-PUB-ED-002,003 を統合",HTTP / DB / 画面（ケース記述参照）,"参照:event-days/route.ts 【リスク】締切後も予約できるように見える。 旧:TC-PUB-ED-002,003 を統合",,,,,対象,2-01,"=IF($W5=""対象"",IFERROR(IF(xlookup($D5,MVP_Minimum_Run!$C:$C,MVP_Minimum_Run!$H:$H,"""")<>"""",xlookup($D5,MVP_Minimum_Run!$C:$C,MVP_Minimum_Run!$H:$H,""""),$S5),$S5),$S5)","=IF($W5=""対象"",IFERROR(IF(xlookup($D5,MVP_Minimum_Run!$C:$C,MVP_Minimum_Run!$I:$I,"""")<>"""",xlookup($D5,MVP_Minimum_Run!$C:$C,MVP_Minimum_Run!$I:$I,""""),$T5),$T5),$T5)",staging-smoke,staging,yes,なし,staging-smoke.staging.test.ts（acceptingReservations 整合）
reviewable,公開カレンダー,GET /api/event-days,MVP-ED-500,DB select 失敗時 500,障害シミュレーション（要確認）,GET,—,500 JSON。フロントはエラー表示にフォールバックできること（要確認）。,フェイルセーフ,フェイルセーフ,異常系,P1,リリース前推奨,既存レビュー用データ,route.ts,HTTP / DB / 画面（ケース記述参照）,【分岐】if (error) 【リスク】カレンダー全停止・問い合わせ増。 参照:route.ts | 旧:TC-MVP-PUB-ED-500,,,,,,,"=IF($W6=""対象"",IFERROR(IF(xlookup($D6,MVP_Minimum_Run!$C:$C,MVP_Minimum_Run!$H:$H,"""")<>"""",xlookup($D6,MVP_Minimum_Run!$C:$C,MVP_Minimum_Run!$H:$H,""""),$S6),$S6),$S6)","=IF($W6=""対象"",IFERROR(IF(xlookup($D6,MVP_Minimum_Run!$C:$C,MVP_Minimum_Run!$I:$I,"""")<>"""",xlookup($D6,MVP_Minimum_Run!$C:$C,MVP_Minimum_Run!$I:$I,""""),$T6),$T6),$T6)",local-integration,local,partial,seed により異なる,公開APIの状態依存ケース（ヒューリスティック）
reviewable,公開予約,/reserve/[date] reserve-date-client.tsx,RSV-001,確認へ進む前に必須未入力（枠未選択）で止まる,open・締切前,枠を選ばず「確認へ」,クライアント validateBeforeConfirm,同一ページ内エラー。API は呼ばれない。,必須未入力,必須未入力,異常系,P0,MVP必須,既存レビュー用データ,reserve-date-client.tsx:229-231 【リスク】無効 POST で DB 負荷。,HTTP / DB / 画面（ケース記述参照）,【分岐】!selectedSlotId 参照:reserve-date-client.tsx:229-231 【リスク】無効 POST で DB 負荷。,,,,,対象,2-03,"=IF($W7=""対象"",IFERROR(IF(xlookup($D7,MVP_Minimum_Run!$C:$C,MVP_Minimum_Run!$H:$H,"""")<>"""",xlookup($D7,MVP_Minimum_Run!$C:$C,MVP_Minimum_Run!$H:$H,""""),$S7),$S7),$S7)","=IF($W7=""対象"",IFERROR(IF(xlookup($D7,MVP_Minimum_Run!$C:$C,MVP_Minimum_Run!$I:$I,"""")<>"""",xlookup($D7,MVP_Minimum_Run!$C:$C,MVP_Minimum_Run!$I:$I,""""),$T7),$T7),$T7)",manual,local,partial,なし（UI）,【MVP・将来の最優先自動化候補】公開予約の必須バリデーション（枠未選択で止まる）。現状は manual（目視）。自動化の候補レイヤー: ①component test（フォーム・バリデーション最短）②local-integration（必要なら MSW 等で submit 前まで）③Playwright/E2E（実ブラウザの最終確認）。①→②の順で効果が大きい想定。
reviewable,公開予約,同上,RSV-002,参加人数が 1 未満または非整数で止まる,同上,participantCount 0 または空文字,確認へ,メッセージ「1 以上の整数」。API 未送信。,人数境界,人数境界,境界値,P0,MVP必須,既存レビュー用データ,232-235,HTTP / DB / 画面（ケース記述参照）,【分岐】parseInt 検証 参照:232-235 | サーバ上限は RPC 側（要確認: 現マイグレーションは主に <1 のみ明示）,,,,,対象,2-04,"=IF($W8=""対象"",IFERROR(IF(xlookup($D8,MVP_Minimum_Run!$C:$C,MVP_Minimum_Run!$H:$H,"""")<>"""",xlookup($D8,MVP_Minimum_Run!$C:$C,MVP_Minimum_Run!$H:$H,""""),$S8),$S8),$S8)","=IF($W8=""対象"",IFERROR(IF(xlookup($D8,MVP_Minimum_Run!$C:$C,MVP_Minimum_Run!$I:$I,"""")<>"""",xlookup($D8,MVP_Minimum_Run!$C:$C,MVP_Minimum_Run!$I:$I,""""),$T8),$T8),$T8)",manual,local,partial,なし（UI）,【MVP・将来の最優先自動化候補】参加人数の境界バリデーション。現状は manual。候補: ①component test ②local-integration ③Playwright/E2E。RSV-001 と同方針で統一しやすい。
reviewable,公開予約,同上,RSV-003,昼食合計数量 0（全メニュー 0）で止まる,昼食メニュー読込済み,全 quantity 0 または空,確認へ,「昼食は、必ずご予約が必要です。」API 未送信。,昼食境界,昼食境界,境界値,P0,MVP必須,既存レビュー用データ,258-260,HTTP / DB / 画面（ケース記述参照）,【分岐】lunchTotalUnits===0 参照:258-260,,,,,対象,2-05,"=IF($W9=""対象"",IFERROR(IF(xlookup($D9,MVP_Minimum_Run!$C:$C,MVP_Minimum_Run!$H:$H,"""")<>"""",xlookup($D9,MVP_Minimum_Run!$C:$C,MVP_Minimum_Run!$H:$H,""""),$S9),$S9),$S9)","=IF($W9=""対象"",IFERROR(IF(xlookup($D9,MVP_Minimum_Run!$C:$C,MVP_Minimum_Run!$I:$I,"""")<>"""",xlookup($D9,MVP_Minimum_Run!$C:$C,MVP_Minimum_Run!$I:$I,""""),$T9),$T9),$T9)",manual,local,partial,なし（UI）,【MVP・将来の最優先自動化候補】昼食合計0の必須ルール。現状は manual。候補: ①component test ②local-integration ③Playwright/E2E。RSV-001 と同方針で統一しやすい。
reviewable,公開予約,同上,RSV-004,昼食数量フィールドが 0〜500 以外はバリデーションエラー,同上,501 または非数字,確認へ,0〜500 の半角数字メッセージ。,昼食境界,昼食境界,境界値,P1,リリース前推奨,既存レビュー用データ,244-253,HTTP / DB / 画面（ケース記述参照）,【分岐】parseLunchQuantityField 参照:244-253,,,,,,,"=IF($W10=""対象"",IFERROR(IF(xlookup($D10,MVP_Minimum_Run!$C:$C,MVP_Minimum_Run!$H:$H,"""")<>"""",xlookup($D10,MVP_Minimum_Run!$C:$C,MVP_Minimum_Run!$H:$H,""""),$S10),$S10),$S10)","=IF($W10=""対象"",IFERROR(IF(xlookup($D10,MVP_Minimum_Run!$C:$C,MVP_Minimum_Run!$I:$I,"""")<>"""",xlookup($D10,MVP_Minimum_Run!$C:$C,MVP_Minimum_Run!$I:$I,""""),$T10),$T10),$T10)",manual,both,no,個別確認,デフォルト分類（必要なら BY_CASE_ID に追加）
reviewable,公開予約,同上,RSV-005,メール確認不一致で止まる,—,contactEmail と contactEmailConfirm をずらす,確認へ,アラートまたはインラインエラー。API 未送信。,誤入力防止,誤入力防止,異常系,P1,リリース前推奨,既存レビュー用データ,reserve-date-client.tsx,HTTP / DB / 画面（ケース記述参照）,【分岐】273-280 参照:reserve-date-client.tsx,,,,,,,"=IF($W11=""対象"",IFERROR(IF(xlookup($D11,MVP_Minimum_Run!$C:$C,MVP_Minimum_Run!$H:$H,"""")<>"""",xlookup($D11,MVP_Minimum_Run!$C:$C,MVP_Minimum_Run!$H:$H,""""),$S11),$S11),$S11)","=IF($W11=""対象"",IFERROR(IF(xlookup($D11,MVP_Minimum_Run!$C:$C,MVP_Minimum_Run!$I:$I,"""")<>"""",xlookup($D11,MVP_Minimum_Run!$C:$C,MVP_Minimum_Run!$I:$I,""""),$T11),$T11),$T11)",manual,both,no,個別確認,デフォルト分類（必要なら BY_CASE_ID に追加）
