仕様ID,機能/カテゴリ,確認内容,台帳状態,MVP前後,対応テストファイル,実行コマンド,試験種別,試験結果,結果詳細,実施日,備考（実行記録）
REPORT_RUN_SUMMARY,（メタ）本ファイルの実行サマリ,unit: OK 60 tests; integration: OK 44 tests; staging: npm run test:staging: Tests 11 passed (11),,,,,記録,OK（主要自動）,詳細は各仕様行の結果詳細列,2026-04-22,node scripts/generate-mvp-testspec-execution-report.mjs
AL-001,管理アクセス制御,未ログインで保護 URL にアクセスするとログインへ,手動のみ,必須,,,manual,未実施,MVP ではブラウザ／Release_Gate 等の手動確認にて合格とする（本 CSV の自動判定では未実施扱い）,2026-04-22,自動生成 scripts/generate-mvp-testspec-execution-report.mjs
AL-002,管理アクセス制御,ログイン済みだが app_admins に無いユーザーは保護ページ不可,手動のみ,必須,,,manual,未実施,MVP ではブラウザ／Release_Gate 等の手動確認にて合格とする（本 CSV の自動判定では未実施扱い）,2026-04-22,自動生成 scripts/generate-mvp-testspec-execution-report.mjs
AL-003,管理アクセス制御,app_admins ユーザーは保護ページが表示される,手動のみ,必須,,,manual,未実施,MVP ではブラウザ／Release_Gate 等の手動確認にて合格とする（本 CSV の自動判定では未実施扱い）,2026-04-22,自動生成 scripts/generate-mvp-testspec-execution-report.mjs
MVP-DASH-400,管理ダッシュボード,after 欠落または暦日無効は 400,完了,必須,tests/staging/staging-smoke.staging.test.ts,npm run test:staging,staging,OK,npm run test:staging: Tests 11 passed (11),2026-04-22,自動生成 scripts/generate-mvp-testspec-execution-report.mjs
MVP-DASH-200,管理ダッシュボード,after より後に開催日なしは day null／ありは 1 件,一部,任意,tests/staging/staging-smoke.staging.test.ts,npm run test:staging,staging,OK,npm run test:staging: Tests 11 passed (11),2026-04-22,自動生成 scripts/generate-mvp-testspec-execution-report.mjs
API-ED-001,公開カレンダー,acceptingReservations は status=open かつ締切未来のみ true,完了,必須,tests/staging/staging-smoke.staging.test.ts,npm run test:staging,staging,OK,npm run test:staging: Tests 11 passed (11),2026-04-22,自動生成 scripts/generate-mvp-testspec-execution-report.mjs
API-AV-001,公開カレンダー,日付形式不正は 400、該当なしは 404,完了,必須,tests/staging/staging-smoke.staging.test.ts,npm run test:staging,staging,OK,npm run test:staging: Tests 11 passed (11),2026-04-22,自動生成 scripts/generate-mvp-testspec-execution-report.mjs
RSV-001,公開予約,確認へ進む前に必須未入力（枠未選択）で止まる,手動のみ,必須,,,manual,未実施,MVP ではブラウザ／Release_Gate 等の手動確認にて合格とする（本 CSV の自動判定では未実施扱い）,2026-04-22,自動生成 scripts/generate-mvp-testspec-execution-report.mjs
RSV-002,公開予約,参加人数が 1 未満または非整数で止まる,手動のみ,必須,,,manual,未実施,MVP ではブラウザ／Release_Gate 等の手動確認にて合格とする（本 CSV の自動判定では未実施扱い）,2026-04-22,自動生成 scripts/generate-mvp-testspec-execution-report.mjs
RSV-003,公開予約,昼食合計数量 0（全メニュー 0）で止まる,手動のみ,必須,,,manual,未実施,MVP ではブラウザ／Release_Gate 等の手動確認にて合格とする（本 CSV の自動判定では未実施扱い）,2026-04-22,自動生成 scripts/generate-mvp-testspec-execution-report.mjs
RSV-006,公開予約,p_lunch_items の数量合計が participant_count を上回っても create_public_reservation が success（明細が DB に保持される）,完了,任意,tests/integration/public-reservation-rpc.integration.test.ts,npm run test:integration,integration,OK,npm run test:integration（44 tests passed）,2026-04-22,自動生成 scripts/generate-mvp-testspec-execution-report.mjs
RSV-010,公開予約,正常入力で 201・sessionStorage・/reserve/complete 遷移,一部,必須,tests/integration/public-reservation-rpc.integration.test.ts,npm run test:integration（RPC）/ 手動で UI,integration,OK（自動部）,npm run test:integration（44 tests passed）。UI・sessionStorage・画面遷移は手動未実施,2026-04-22,自動生成 scripts/generate-mvp-testspec-execution-report.mjs
RSV-011,公開予約,二重送信: submitting 中は連打しても fetch が重複しない,手動のみ,任意,,,manual,未実施,ブラウザ／チェックリスト手動（本レポートでは未実施）,2026-04-22,自動生成 scripts/generate-mvp-testspec-execution-report.mjs
RSV-020,公開予約,締切後は 409（event_not_open / deadline_passed）,完了,必須,tests/integration/public-reservation-rpc.integration.test.ts,npm run test:integration,integration,OK,npm run test:integration（44 tests passed）,2026-04-22,自動生成 scripts/generate-mvp-testspec-execution-report.mjs
RSV-021,公開予約,満枠・枠ロックは 409（slot_full / slot_locked / day_full）,一部,必須,tests/integration/public-reservation-rpc.integration.test.ts,npm run test:integration,integration,OK（一部）,npm run test:integration（44 tests passed）。day_full・slot_locked を確認（slot_full は seed 依存）,2026-04-22,自動生成 scripts/generate-mvp-testspec-execution-report.mjs
RSV-022,公開予約,POST /api/reservations で UUID 形式不正は 422、存在しない開催日・枠は 404,一部,必須,tests/integration/public-reservation-post-route.integration.test.ts,npm run test:integration,integration,OK,npm run test:integration（44 tests passed）。422×2・404×1,2026-04-22,自動生成 scripts/generate-mvp-testspec-execution-report.mjs
RSV-023,公開予約,draft 等（公開ステータス外）は RPC で受付不可,完了,必須,tests/integration/public-reservation-rpc.integration.test.ts,npm run test:integration,integration,OK,npm run test:integration（44 tests passed）,2026-04-22,自動生成 scripts/generate-mvp-testspec-execution-report.mjs
TK-001,予約トークン,形式不正トークンは 404,完了,必須,tests/staging/staging-smoke.staging.test.ts,npm run test:staging,staging,OK,npm run test:staging: Tests 11 passed (11),2026-04-22,自動生成 scripts/generate-mvp-testspec-execution-report.mjs
TK-002,予約トークン,締切後 PATCH は拒否（HTTP と DB 無変更）,完了,必須,tests/integration/reservation-token-patch.integration.test.ts,npm run test:integration,integration,OK,npm run test:integration（44 tests passed）,2026-04-22,自動生成 scripts/generate-mvp-testspec-execution-report.mjs
CK-001,締切Cron（JOB01）,Bearer 不一致は 401（再実行含め毎回検証）,一部,必須,tests/staging/staging-smoke.staging.test.ts,npm run test:staging,staging,OK,npm run test:staging: Tests 11 passed (11),2026-04-22,自動生成 scripts/generate-mvp-testspec-execution-report.mjs
CK-002,締切Cron（JOB01）,CRON_SECRET 未設定または短すぎると 503,完了,必須,tests/integration/cron-lock-route.integration.test.ts,npm run test:integration,integration,OK,npm run test:integration（44 tests passed）,2026-04-22,自動生成 scripts/generate-mvp-testspec-execution-report.mjs
CK-003,締切Cron（JOB01）,対象 open かつ締切済みが 0 件のときは配列空で成功,完了,必須,tests/integration/cron-lock-event-days-db.integration.test.ts,npm run test:integration,integration,OK,npm run test:integration（44 tests passed）,2026-04-22,自動生成 scripts/generate-mvp-testspec-execution-report.mjs
CK-010,締切Cron（JOB01）,締切前の open はクエリ対象外（更新なし）,完了,必須,tests/integration/cron-lock-event-days-db.integration.test.ts,npm run test:integration,integration,OK,npm run test:integration（44 tests passed）,2026-04-22,自動生成 scripts/generate-mvp-testspec-execution-report.mjs
CK-011,締切Cron（JOB01）,締切後・active 数 < 3 → cancelled_minimum と通知フロー,一部,必須,tests/integration/cron-lock-event-days-db.integration.test.ts,npm run test:integration,integration,OK,npm run test:integration（44 tests passed）。cancelled_minimum を確認。RESEND 未設定時はメール送信スキップ（ログのみ）,2026-04-22,自動生成 scripts/generate-mvp-testspec-execution-report.mjs
CK-012,締切Cron（JOB01）,締切後・active 数 >= 3 → locked（JOB02 前提）,完了,必須,tests/integration/cron-lock-event-days-db.integration.test.ts,npm run test:integration,integration,OK,npm run test:integration（44 tests passed）,2026-04-22,自動生成 scripts/generate-mvp-testspec-execution-report.mjs
CK-021,締切Cron（JOB01）,冪等: 2 回目の Cron は open+締切済みが無ければ両配列 0,完了,必須,tests/integration/cron-lock-event-days-db.integration.test.ts,npm run test:integration,integration,OK,npm run test:integration（44 tests passed）,2026-04-22,自動生成 scripts/generate-mvp-testspec-execution-report.mjs
TC-EX-CU-OK,管理API｜締切catchup,applyReservationDeadlineCatchup: ok locked or minimum,手動のみ,必須,,,manual,未実施,ブラウザ／チェックリスト手動（本レポートでは未実施）,2026-04-22,自動生成 scripts/generate-mvp-testspec-execution-report.mjs
